corpus,row,model,label,position
carebench,297,Claude,SAC,0.0
carebench,297,Claude,VAC,0.05266579973992198
carebench,297,Claude,NAC,0.1976592977893368
carebench,297,Claude,DIR,0.25617685305591675
carebench,297,Claude,DIR,0.28998699609882966
carebench,297,Claude,DIR,0.3491547464239272
carebench,297,Claude,DIR,0.45318595578673604
carebench,297,Claude,DIR,0.4739921976592978
carebench,297,Claude,VAC,0.6092327698309493
carebench,297,Claude,NAC,0.6306892067620286
carebench,297,Claude,DIR,0.687256176853056
carebench,297,Claude,QOP,0.7626788036410923
carebench,297,Claude,DIR,0.864109232769831
carebench,297,Claude,DIR,0.8862158647594278
carebench,297,Claude,ASAC,0.922626788036411
carebench,297,Claude,QCL,0.9629388816644994
hope,329,Human,LMT,0.0
hope,329,Human,MEN,0.28
hope,329,Human,QOP,0.4
hope,276,Llama,TEN,0.0
hope,276,Llama,TEN,0.10909090909090909
hope,276,Llama,AUR,0.20795454545454545
hope,276,Llama,NAC,0.29204545454545455
hope,276,Llama,RECT,0.45681818181818185
hope,276,Llama,DIR,0.45681818181818185
hope,276,Llama,RECT,0.6352272727272728
hope,276,Llama,DIR,0.6352272727272728
hope,276,Llama,TEN,0.7693181818181818
hope,276,Llama,DIR,0.9170454545454545
carebench,243,GPT,TSH,0.0
carebench,243,GPT,AUR,0.064
carebench,243,GPT,NAC,0.16738461538461538
carebench,243,GPT,VAC,0.16738461538461538
carebench,243,GPT,DIR,0.22338461538461538
carebench,243,GPT,VAC,0.24369230769230768
carebench,243,GPT,DIR,0.3089230769230769
carebench,243,GPT,RECT,0.3667692307692308
carebench,243,GPT,DIR,0.42523076923076925
carebench,243,GPT,TSH,0.47815384615384615
carebench,243,GPT,AUR,0.563076923076923
carebench,243,GPT,DIR,0.672
carebench,243,GPT,RECT,0.7126153846153847
carebench,243,GPT,QCL,0.7126153846153847
carebench,243,GPT,QCL,0.7612307692307693
carebench,243,GPT,DIR,0.8116923076923077
carebench,243,GPT,DIR,0.8584615384615385
carebench,243,GPT,DIR,0.8910769230769231
carebench,243,GPT,ASAC,0.947076923076923
hope,326,Gemini,NAC,0.06684856753069578
hope,326,Gemini,VAC,0.2592087312414734
hope,326,Gemini,TEN,0.4897680763983629
hope,326,Gemini,QCL,0.723055934515689
hope,209,Human,AUR,0.0
hope,209,Human,LMT,0.2736318407960199
hope,209,Human,VAC,0.472636815920398
hope,73,GPT,VAC,0.0
hope,73,GPT,LMT,0.0808
hope,73,GPT,NAC,0.1344
hope,73,GPT,SAC,0.204
hope,73,GPT,DIR,0.2496
hope,73,GPT,DIR,0.312
hope,73,GPT,RECT,0.3536
hope,73,GPT,RECT,0.4296
hope,73,GPT,RECT,0.512
hope,73,GPT,DIR,0.5752
hope,73,GPT,RECT,0.6872
hope,73,GPT,SEN,0.7824
hope,73,GPT,QCL,0.836
hope,73,GPT,SAC,0.8968
carebench,235,Claude,VAC,0.0
carebench,235,Claude,SEN,0.3457484188334505
carebench,235,Claude,QCL,0.3457484188334505
carebench,235,Claude,DIR,0.4174279690794097
carebench,235,Claude,SAC,0.4174279690794097
carebench,235,Claude,DIR,0.4624033731553057
carebench,235,Claude,ASAC,0.4624033731553057
carebench,235,Claude,DIR,0.5460295151089248
carebench,235,Claude,NAC,0.6654954321855235
carebench,235,Claude,SAC,0.7336612789880534
carebench,235,Claude,DIR,0.8678847505270555
carebench,235,Claude,RECT,0.8678847505270555
carebench,235,Claude,QCL,0.9395643007730148
hope,184,Claude,VAC,0.0
hope,184,Claude,SAC,0.0
hope,184,Claude,VAC,0.02973977695167286
hope,184,Claude,LMT,0.20223048327137547
hope,184,Claude,DIR,0.2066914498141264
hope,184,Claude,DIR,0.23940520446096655
hope,184,Claude,DIR,0.31970260223048325
hope,184,Claude,AUR,0.35390334572490706
hope,184,Claude,DIR,0.4587360594795539
hope,184,Claude,VAC,0.5137546468401487
hope,184,Claude,SAC,0.6148698884758365
hope,184,Claude,DIR,0.6319702602230484
hope,184,Claude,DIR,0.6914498141263941
hope,184,Claude,RECT,0.7643122676579925
hope,184,Claude,DIR,0.7643122676579925
hope,184,Claude,SAC,0.8728624535315985
hope,184,Claude,QCL,0.9717472118959107
hope,2,Gemini,TEN,0.0
hope,2,Gemini,AUR,0.0
hope,2,Gemini,NAC,0.0
hope,2,Gemini,LMT,0.022392457277548614
hope,2,Gemini,TSH,0.07012374779021803
hope,2,Gemini,AUR,0.07012374779021803
hope,2,Gemini,VAC,0.16912197996464348
hope,2,Gemini,SAC,0.16912197996464348
hope,2,Gemini,AUR,0.16912197996464348
hope,2,Gemini,DIR,0.2581025338833235
hope,2,Gemini,AUR,0.2581025338833235
hope,2,Gemini,DIR,0.31408367707719503
hope,2,Gemini,DIR,0.36122569239835
hope,2,Gemini,AUR,0.36122569239835
hope,2,Gemini,DIR,0.4207424867413082
hope,2,Gemini,AUR,0.4207424867413082
hope,2,Gemini,DIR,0.4725987035945787
hope,2,Gemini,NAC,0.4725987035945787
hope,2,Gemini,DIR,0.5615792575132587
hope,2,Gemini,AUR,0.5615792575132587
hope,2,Gemini,DIR,0.6228638774307602
hope,2,Gemini,AUR,0.6228638774307602
hope,2,Gemini,QOP,0.7289334119033589
hope,2,Gemini,QCL,0.7589864466705951
hope,2,Gemini,QCL,0.8845020624631703
hope,2,Gemini,RECT,0.9228049499116088
counselchat,8,Llama,SEN,0.0
counselchat,8,Llama,SAC,0.0
counselchat,8,Llama,AUR,0.06025428413488115
counselchat,8,Llama,VAC,0.13875069098949697
counselchat,8,Llama,SAC,0.13875069098949697
counselchat,8,Llama,NAC,0.2377003869541183
counselchat,8,Llama,AUR,0.2896627971254837
counselchat,8,Llama,AUR,0.3642896627971255
counselchat,8,Llama,TEN,0.4300718629076838
counselchat,8,Llama,DIR,0.4588170259812051
counselchat,8,Llama,RECT,0.5085682697622996
counselchat,8,Llama,DIR,0.5257048092868989
counselchat,8,Llama,RECT,0.6473189607517966
counselchat,8,Llama,DIR,0.6683250414593698
counselchat,8,Llama,QOP,0.7213930348258707
counselchat,8,Llama,QOP,0.7423991155334438
counselchat,8,Llama,QOP,0.7622996130458817
counselchat,8,Llama,RECT,0.7976782752902156
counselchat,8,Llama,DIR,0.8645660585959093
counselchat,8,Llama,RECT,0.9364289662797125
counselchat,8,Llama,DIR,0.9624101713653952
carebench,176,Llama,NAC,0.0
carebench,176,Llama,VAC,0.09941520467836257
carebench,176,Llama,SAC,0.09941520467836257
carebench,176,Llama,NAC,0.195906432748538
carebench,176,Llama,DIR,0.24707602339181287
carebench,176,Llama,NAC,0.30409356725146197
carebench,176,Llama,SAC,0.3684210526315789
carebench,176,Llama,VAC,0.3684210526315789
carebench,176,Llama,RECT,0.43567251461988304
carebench,176,Llama,DIR,0.49707602339181284
carebench,176,Llama,DIR,0.5372807017543859
carebench,176,Llama,DIR,0.6769005847953217
carebench,176,Llama,DIR,0.8326023391812866
carebench,176,Llama,NAC,0.9100877192982456
hope,337,Human,AUR,0.0
hope,337,Human,DIR,0.0
hope,337,Human,VIN,0.0
hope,337,Human,NIN,0.0
hope,337,Human,SIN,0.0
carebench,223,Llama,VAC,0.0
carebench,223,Llama,NAC,0.06810035842293907
carebench,223,Llama,RECT,0.12246117084826762
carebench,223,Llama,DIR,0.16786140979689368
carebench,223,Llama,FIX,0.22520908004778972
carebench,223,Llama,RECT,0.3064516129032258
